,Courses,Topic,Duration,Effort,Course Code
0,Python for Everybody,Intro CS,10 weeks,10 hours/week,IC001
1,Introduction to Computer Science and Programming using Python,Intro CS,9 weeks,15 hours/week,IC002
2,How to Code - Simple Data,Core Programming,7 weeks,8-10 hours/week,CP001
3,How to Code - Complex Data,Core Programming,6 weeks,8-10 hours/week,CP002
4,"Programming Languages, Part A",Core Programming,5 weeks,4-8 hours/week,CP003
5,"Programming Languages, Part B",Core Programming,3 weeks,4-8 hours/week,CP004
6,"Programming Languages, Part C",Core Programming,3 weeks,4-8 hours/week,CP005
7,Object-Oriented Design,Core Programming,4 weeks,4 hours/week,CP006
8,Design Patterns,Core Programming,4 weeks,4 hours/week,CP007
9,Software Architecture,Core Programming,4 weeks,2-5 hours/week,CP008
10,Calculus 1A: Differentiation,Core Math,13 weeks,6-10 hours/week,CM001
11,Calculus 1B: Integration,Core Math,13 weeks,5-10 hours/week,CM002
12,Calculus 1C: Coordinate Systems & Infinite Series,Core Math,6 weeks,5-10 hours/week,CM003
13,Mathematics for Computer Science,Core Math,13 weeks,5 hours/week,CM004
14,The Missing Semester of Your CS Education,CS Tools,2 weeks,12 hours/week,CT001
15,Build a Modern Computer from First Principles: From Nand to Tetris,Core Systems,6 weeks,7-13 hours/week,CS001
16,Build a Modern Computer from First Principles: Nand to Tetris Part II,Core Systems,6 weeks,12-18 hours/week,CS002
17,Operating Systems: Three Easy Pieces,Core Systems,10-12 weeks,6 hours/week,CS003
18,Computer Networking: a Top-Down Approach,Core Systems,8 weeks,4-12 hours/week,CS004
19,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Core Theory,4 weeks,4-8 hours/week,CT001
20,"Graph Search, Shortest Paths, and Data Structures",Core Theory,4 weeks,4-8 hours/week,CT002
21,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Core Theory,4 weeks,4-8 hours/week,CT003
22,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",Core Theory,4 weeks,4-8 hours/week,CT004
23,Cybersecurity Fundamentals,Core Security,8 weeks,10-12 hours/week,CS001
24,Principles of Secure Coding,Core Security,4 weeks,4 hours/week,CS002
25,Identifying Security Vulnerabilities,Core Security,4 weeks,4 hours/week,CS003
26,Identifying Security Vulnerabilities in C/C++ Programming or Exploiting and Securing Vulnerabilities in Java Applications,Core Security,4 weeks,5 hours/week,CS004
27,Databases: Modeling and Theory,Core Applications,2 weeks,10 hours/week,CA001
28,Databases: Relational Databases and SQL,Core Applications,2 weeks,10 hours/week,CA002
29,Databases: Semistructured Data,Core Applications,2 weeks,10 hours/week,CA003
30,Machine Learning,Core Applications,11 weeks,4-6 hours/week,CA004
31,Computer Graphics,Core Applications,6 weeks,12 hours/week,CA005
32,Software Engineering: Introduction,Core Applications,6 weeks,8-10 hours/week,CA006
33,"Ethics, Technology and Engineering",Core Ethics,9 weeks,2 hours/week,CE001
34,Intellectual Property Law in Digital Age,Core Ethics,4 weeks,2 hours/week,CE002
35,Data Privacy Fundamentals,Core Ethics,3 weeks,3 hours/week,CE003
36,Parallel Programming,Advanced Programming,4 weeks,6-8 hours/week,AP001
37,Compilers,Advanced Programming,9 weeks,6-8 hours/week,AP002
38,Introduction to Haskell,Advanced Programming,14 weeks,-,AP003
39,Learn Prolog Now!,Advanced Programming,12 weeks,-,AP004
40,Software Debugging,Advanced Programming,8 weeks,6 hours/week,AP005
41,Software Testing,Advanced Programming,4 weeks,6 hours/week,AP006
42,Final Project,Final Project,,,FP001
43,C++ For Everybody,Prerequisites,13 weeks,,P001
44, Java For Everybody,Prerequisites,12 weeks,,P002
45,Linear Algebra,Prerequisites,11 weeks,,P003
46,High School Algebra,Prerequisites,2 weeks,,P004
47, Probability,Prerequisites,8 weeks,,P005
48, Basic Cs,Prerequisites,0 weeks,,P006
49,How To Code (Hear Instructor),Prerequisites,0 weeks,,P007
50,High School Math,Prerequisites,2 weeks,,P008
