,Courses,Prerequisite Codes,Course Code
0,Python for Everybody,,IC001
1,Introduction to Computer Science and Programming using Python,P004,IC002
2,How to Code - Simple Data,,CP001
3,How to Code - Complex Data,CP001,CP002
4,"Programming Languages, Part A",P007,CP003
5,"Programming Languages, Part B",CP003,CP004
6,"Programming Languages, Part C",CP004,CP005
7,Object-Oriented Design,P002,CP006
8,Design Patterns,CP006,CP007
9,Software Architecture,CP007,CP008
10,Calculus 1A: Differentiation,P008,CM001
11,Calculus 1B: Integration,CM001,CM002
12,Calculus 1C: Coordinate Systems & Infinite Series,CM002,CM003
13,Mathematics for Computer Science,CM003,CM004
14,The Missing Semester of Your CS Education,,CST001
15,Build a Modern Computer from First Principles: From Nand to Tetris,P010,CRS001
16,Build a Modern Computer from First Principles: Nand to Tetris Part II,CRS001,CRS002
17,Operating Systems: Three Easy Pieces,P010,CRS003
18,Computer Networking: a Top-Down Approach,P003;P005;P006,CRS004
19,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",CM004,CT001
20,"Graph Search, Shortest Paths, and Data Structures",CT001,CT002
21,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",CT002,CT003
22,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",CT003,CT004
23,Cybersecurity Fundamentals,,CS001
24,Principles of Secure Coding,,CS002
25,Identifying Security Vulnerabilities,,CS003
26,Identifying Security Vulnerabilities in C/C++ Programming or Exploiting and Securing Vulnerabilities in Java Applications,,CS004
27,Databases: Modeling and Theory,CP001;CP002;CP003;CP004;CP005;CP006;CP007;CP008,CA001
28,Databases: Relational Databases and SQL,CP001;CP002;CP003;CP004;CP005;CP006;CP007;CP008,CA002
29,Databases: Semistructured Data,CP001;CP002;CP003;CP004;CP005;CP006;CP007;CP008,CA003
30,Machine Learning,P003,CA004
31,Computer Graphics,P001;P002;P003,CA005
32,Software Engineering: Introduction,CP001;CP002;CP003;CP004;CP005;CP006;CP007;CP008,CA006
33,"Ethics, Technology and Engineering",,CE001
34,Intellectual Property Law in Digital Age,,CE002
35,Data Privacy Fundamentals,,CE003
36,Parallel Programming,P009,AP001
37,Compilers,,AP002
38,Introduction to Haskell,,AP003
39,Learn Prolog Now!,,AP004
40,Software Debugging,IC001;CP006,AP005
41,Software Testing,IC001,AP006
42,Final Project,,FP001
43,C++ For Everybody,,P001
44,Java For Everybody,,P002
45,Linear Algebra,,P003
46,High School Algebra,,P004
47, Probability,,P005
48, Basic Cs,,P006
49,How To Code (Hear Instructor),,P007
50,High School Math,,P008
51,Scala Programming,,P009
52,C Programming,,P010
