Prerequisite,Python for Everybody,Introduction to Computer Science and Programming using Python,How to Code - Simple Data,How to Code - Complex Data,"Programming Languages, Part A","Programming Languages, Part B","Programming Languages, Part C",Object-Oriented Design,Design Patterns,Software Architecture,Calculus 1A: Differentiation,Calculus 1B: Integration,Calculus 1C: Coordinate Systems & Infinite Series,Mathematics for Computer Science,The Missing Semester of Your CS Education,Build a Modern Computer from First Principles: From Nand to Tetris,Build a Modern Computer from First Principles: Nand to Tetris Part II,Operating Systems: Three Easy Pieces,Computer Networking: a Top-Down Approach,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms","Graph Search, Shortest Paths, and Data Structures","Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming","Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",Cybersecurity Fundamentals,Principles of Secure Coding,Identifying Security Vulnerabilities,Identifying Security Vulnerabilities in C/C++ Programming or Exploiting and Securing Vulnerabilities in Java Applications,Databases: Modeling and Theory,Databases: Relational Databases and SQL,Databases: Semistructured Data,Machine Learning,Computer Graphics,Software Engineering: Introduction,"Ethics, Technology and Engineering",Intellectual Property Law in Digital Age,Data Privacy Fundamentals,Parallel Programming,Compilers,Introduction to Haskell,Learn Prolog Now!,Software Debugging,Software Testing,Final Project,Intro CS,Intro CS,Core Programming,Core Programming,Core Programming,Core Programming,Core Programming,Core Programming,Core Programming,Core Programming,Core Math,Core Math,Core Math,Core Math,CS Tools,Core Systems,Core Systems,Core Systems,Core Systems,Core Theory,Core Theory,Core Theory,Core Theory,Core Security,Core Security,Core Security,Core Security,Core Applications,Core Applications,Core Applications,Core Applications,Core Applications,Core Applications,Core Ethics,Core Ethics,Core Ethics,Advanced Programming,Advanced Programming,Advanced Programming,Advanced Programming,Advanced Programming,Advanced Programming,Final Project
any programming language,0.44859492701487996,0.5952209854890542,0.44198247939974783,0.499089292817109,0.6602026513970543,0.6592501925811995,0.6444599297088864,0.40658110702273537,0.5244409134243078,0.6127269404863616,0.44311641986587863,0.40078722716787646,0.6171991990157334,0.7474159436634097,0.6090132620134445,0.6231235234422486,0.7331981574294882,0.6370922978743893,0.5691554357144779,0.3857513580980976,0.5194874654656672,0.6265875232188369,0.42155835607267805,0.6373376547302063,0.626356836862558,0.6136315517073914,0.6236153113745736,0.5461915400921542,0.5519241043241054,0.5072349294157805,0.6107620940233237,0.5403015298429825,0.6508979708427863,0.47066220805250203,0.6664820110079223,0.6075270918716417,0.5544541989652584,0.2539572659274053,0.4323192901302468,0.13385451428739903,0.6310107278483889,0.6389232792729352,0.5974920961700144,0.4591409021725796,0.4591409021725796,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.6180332199011274,0.6180332199011274,0.6180332199011274,0.6180332199011274,0.4981755479154696,0.5331801989531354,0.5331801989531354,0.5331801989531354,0.5331801989531354,0.5781560556355411,0.5781560556355411,0.5781560556355411,0.5781560556355411,0.6292951808855468,0.6292951808855468,0.6292951808855468,0.6292951808855468,0.6025967859206383,0.6025967859206383,0.6025967859206383,0.6025967859206383,0.6025967859206383,0.6025967859206383,0.5193699637434585,0.5193699637434585,0.5193699637434585,0.5521261431228236,0.5521261431228236,0.5521261431228236,0.5521261431228236,0.5521261431228236,0.5521261431228236,0.5974920961700144
 Mathematics for Computer Science,0.44859492701487996,0.5952209854890542,0.44198247939974783,0.499089292817109,0.6602026513970543,0.6592501925811995,0.6444599297088864,0.40658110702273537,0.5244409134243078,0.6127269404863616,0.44311641986587863,0.40078722716787646,0.6171991990157334,0.7474159436634097,0.6090132620134445,0.6231235234422486,0.7331981574294882,0.6370922978743893,0.5691554357144779,0.3857513580980976,0.5194874654656672,0.6265875232188369,0.42155835607267805,0.6373376547302063,0.626356836862558,0.6136315517073914,0.6236153113745736,0.5461915400921542,0.5519241043241054,0.5072349294157805,0.6107620940233237,0.5403015298429825,0.6508979708427863,0.47066220805250203,0.6664820110079223,0.6075270918716417,0.5544541989652584,0.2539572659274053,0.4323192901302468,0.13385451428739903,0.6310107278483889,0.6389232792729352,0.5974920961700144,0.4591409021725796,0.4591409021725796,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.607553996644129,0.6180332199011274,0.6180332199011274,0.6180332199011274,0.6180332199011274,0.4981755479154696,0.5331801989531354,0.5331801989531354,0.5331801989531354,0.5331801989531354,0.5781560556355411,0.5781560556355411,0.5781560556355411,0.5781560556355411,0.6292951808855468,0.6292951808855468,0.6292951808855468,0.6292951808855468,0.6025967859206383,0.6025967859206383,0.6025967859206383,0.6025967859206383,0.6025967859206383,0.6025967859206383,0.5193699637434585,0.5193699637434585,0.5193699637434585,0.5521261431228236,0.5521261431228236,0.5521261431228236,0.5521261431228236,0.5521261431228236,0.5521261431228236,0.5974920961700144
C++,0.28155477406125695,0.2123751269448434,0.3191608864222824,0.2841439014833142,0.5074780553581767,0.47826621522938967,0.528525752025812,0.07403070415201198,0.29398062313728407,0.3564740283911361,0.4996146069248861,0.37777490426008015,0.44433026177762347,0.24704022270293247,0.20851281769106877,0.35202154339611524,0.3404047781223692,0.44295931733639515,0.3789787054505943,0.3787512270262739,0.46517059231927377,0.5102325031183508,0.2921931000978324,0.22659157736301508,0.2673672061913198,0.17892375169597863,0.2509025421900364,0.4948057123210684,0.6452745199732332,0.6225186233223752,0.23906254238480557,0.2878422171726353,0.48524494344953056,0.3052858597660194,0.33847572065411624,0.27642620065875984,0.21446450076711482,0.38313388500595685,0.2167351896477792,0.2276435635836063,0.17089373326355659,0.2528635470932538,0.34175189490755614,0.40505741577930693,0.40505741577930693,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.31121033245900964,0.31121033245900964,0.31121033245900964,0.31121033245900964,0.38522220535859164,0.2916219661513206,0.2916219661513206,0.2916219661513206,0.2916219661513206,0.2079219898231627,0.2079219898231627,0.2079219898231627,0.2079219898231627,0.278704004329614,0.278704004329614,0.278704004329614,0.278704004329614,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.3687291234962715,0.3687291234962715,0.3687291234962715,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.34175189490755614
 Java,0.28155477406125695,0.2123751269448434,0.3191608864222824,0.2841439014833142,0.5074780553581767,0.47826621522938967,0.528525752025812,0.07403070415201198,0.29398062313728407,0.3564740283911361,0.4996146069248861,0.37777490426008015,0.44433026177762347,0.24704022270293247,0.20851281769106877,0.35202154339611524,0.3404047781223692,0.44295931733639515,0.3789787054505943,0.3787512270262739,0.46517059231927377,0.5102325031183508,0.2921931000978324,0.22659157736301508,0.2673672061913198,0.17892375169597863,0.2509025421900364,0.4948057123210684,0.6452745199732332,0.6225186233223752,0.23906254238480557,0.2878422171726353,0.48524494344953056,0.3052858597660194,0.33847572065411624,0.27642620065875984,0.21446450076711482,0.38313388500595685,0.2167351896477792,0.2276435635836063,0.17089373326355659,0.2528635470932538,0.34175189490755614,0.40505741577930693,0.40505741577930693,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.31121033245900964,0.31121033245900964,0.31121033245900964,0.31121033245900964,0.38522220535859164,0.2916219661513206,0.2916219661513206,0.2916219661513206,0.2916219661513206,0.2079219898231627,0.2079219898231627,0.2079219898231627,0.2079219898231627,0.278704004329614,0.278704004329614,0.278704004329614,0.278704004329614,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.3687291234962715,0.3687291234962715,0.3687291234962715,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.34175189490755614
 linear algebra,0.28155477406125695,0.2123751269448434,0.3191608864222824,0.2841439014833142,0.5074780553581767,0.47826621522938967,0.528525752025812,0.07403070415201198,0.29398062313728407,0.3564740283911361,0.4996146069248861,0.37777490426008015,0.44433026177762347,0.24704022270293247,0.20851281769106877,0.35202154339611524,0.3404047781223692,0.44295931733639515,0.3789787054505943,0.3787512270262739,0.46517059231927377,0.5102325031183508,0.2921931000978324,0.22659157736301508,0.2673672061913198,0.17892375169597863,0.2509025421900364,0.4948057123210684,0.6452745199732332,0.6225186233223752,0.23906254238480557,0.2878422171726353,0.48524494344953056,0.3052858597660194,0.33847572065411624,0.27642620065875984,0.21446450076711482,0.38313388500595685,0.2167351896477792,0.2276435635836063,0.17089373326355659,0.2528635470932538,0.34175189490755614,0.40505741577930693,0.40505741577930693,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.22553268302949828,0.31121033245900964,0.31121033245900964,0.31121033245900964,0.31121033245900964,0.38522220535859164,0.2916219661513206,0.2916219661513206,0.2916219661513206,0.2916219661513206,0.2079219898231627,0.2079219898231627,0.2079219898231627,0.2079219898231627,0.278704004329614,0.278704004329614,0.278704004329614,0.278704004329614,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.2548351748678027,0.3687291234962715,0.3687291234962715,0.3687291234962715,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.18909723858583272,0.34175189490755614
Core Programming,0.2576386015959933,0.266950579096768,0.3867971027670072,0.39583289998325366,0.6210103872130142,0.6177098943551211,0.6202464396580573,0.40195725718643194,0.5331861292074039,0.5484589518835057,0.5902075187121186,0.5806456664018896,0.5067149489022802,0.3240722010060305,0.46667133309505904,0.37119750397944684,0.45274959251293084,0.6175417427375314,0.666441826991533,0.2845791628272124,0.5117257369368207,0.598167146324499,0.3857750288319933,0.5752393704286655,0.4332185079168027,0.4294244019393183,0.30495929303878244,0.43795142003698545,0.4241048126272857,0.5608155275039333,0.6427052672966983,0.5369858182845825,0.621168652388911,0.23575947312778886,0.4420723903274213,0.44738742898935846,0.6009595835786823,0.304200138893001,0.2714443612431156,0.0503902570401184,0.6112588965890985,0.5695000219182067,0.6042405077844687,0.40312044992119456,0.40312044992119456,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6037665364595441,0.6037665364595441,0.6037665364595441,0.6037665364595441,0.47396954529617596,0.48805464851743535,0.48805464851743535,0.48805464851743535,0.48805464851743535,0.5387085117782081,0.5387085117782081,0.5387085117782081,0.5387085117782081,0.591673703310765,0.591673703310765,0.591673703310765,0.591673703310765,0.5365067109313022,0.5365067109313022,0.5365067109313022,0.5365067109313022,0.5365067109313022,0.5365067109313022,0.4796755933353634,0.4796755933353634,0.4796755933353634,0.5967681931064487,0.5967681931064487,0.5967681931064487,0.5967681931064487,0.5967681931064487,0.5967681931064487,0.6042405077844687
 a sizable project,0.2576386015959933,0.266950579096768,0.3867971027670072,0.39583289998325366,0.6210103872130142,0.6177098943551211,0.6202464396580573,0.40195725718643194,0.5331861292074039,0.5484589518835057,0.5902075187121186,0.5806456664018896,0.5067149489022802,0.3240722010060305,0.46667133309505904,0.37119750397944684,0.45274959251293084,0.6175417427375314,0.666441826991533,0.2845791628272124,0.5117257369368207,0.598167146324499,0.3857750288319933,0.5752393704286655,0.4332185079168027,0.4294244019393183,0.30495929303878244,0.43795142003698545,0.4241048126272857,0.5608155275039333,0.6427052672966983,0.5369858182845825,0.621168652388911,0.23575947312778886,0.4420723903274213,0.44738742898935846,0.6009595835786823,0.304200138893001,0.2714443612431156,0.0503902570401184,0.6112588965890985,0.5695000219182067,0.6042405077844687,0.40312044992119456,0.40312044992119456,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6382375662620025,0.6037665364595441,0.6037665364595441,0.6037665364595441,0.6037665364595441,0.47396954529617596,0.48805464851743535,0.48805464851743535,0.48805464851743535,0.48805464851743535,0.5387085117782081,0.5387085117782081,0.5387085117782081,0.5387085117782081,0.591673703310765,0.591673703310765,0.591673703310765,0.591673703310765,0.5365067109313022,0.5365067109313022,0.5365067109313022,0.5365067109313022,0.5365067109313022,0.5365067109313022,0.4796755933353634,0.4796755933353634,0.4796755933353634,0.5967681931064487,0.5967681931064487,0.5967681931064487,0.5967681931064487,0.5967681931064487,0.5967681931064487,0.6042405077844687
"Programming Languages, Part B",0.1784147821353356,0.4573813740087975,0.5348674816259851,0.5727219230564652,0.9717064951718981,1.0,0.9592080212691799,0.3665868146824456,0.6097505318097257,0.6224491959215629,0.2863304102101682,0.2506375231546372,0.6533893917016562,0.544171524923935,0.5013376596174182,0.5242832954458895,0.6376726415281986,0.6933271597245064,0.6154391761629069,0.46877106820096387,0.7717087773129138,0.7801632861065317,0.5973878700840962,0.6461481262157794,0.5453954270978079,0.5578294456622761,0.6211720893757458,0.45084955390675047,0.626889245223643,0.574011102474707,0.6136844224996612,0.6333970229250284,0.5592336236268048,0.5590916819407387,0.648096518314544,0.7363350075475218,0.5081341155658234,0.30038374326444667,0.22991376984378994,0.14604517446537743,0.5093618617026396,0.5666243602179186,0.5239934752647614,0.49531290318473675,0.49531290318473675,0.5774231006358849,0.5774231006358849,0.5774231006358849,0.5774231006358849,0.5774231006358849,0.5774231006358849,0.5774231006358849,0.5774231006358849,0.6123582392306026,0.6123582392306026,0.6123582392306026,0.6123582392306026,0.6130531043649117,0.6459552435353437,0.6459552435353437,0.6459552435353437,0.6459552435353437,0.47404376140034804,0.47404376140034804,0.47404376140034804,0.47404376140034804,0.5823697065318595,0.5823697065318595,0.5823697065318595,0.5823697065318595,0.6628976245299497,0.6628976245299497,0.6628976245299497,0.6628976245299497,0.6628976245299497,0.6628976245299497,0.6256313408473715,0.6256313408473715,0.6256313408473715,0.5430908135675216,0.5430908135675216,0.5430908135675216,0.5430908135675216,0.5430908135675216,0.5430908135675216,0.5239934752647614
-,-0.01659493678645458,-0.16561825367739175,0.10492672765487929,0.10534118703524797,0.07600295052358882,0.02462292350871812,0.07396571227300006,0.15984718765455397,-0.026023138756693247,-0.014115639957282294,0.19032228760998787,0.1722125847886976,0.0186373913285077,-0.09761580765842452,-0.14182630307941246,-0.08750026223366998,-0.06302007204875304,0.008692268014735377,0.2286490877534739,-0.07170839975515302,0.040055922315898655,-0.0713542925999073,0.04243492043568726,-0.10149629295391112,-0.18963657980082815,-0.15157425552165724,-0.1470674242813513,0.013719385548745149,-0.07982227610685258,0.08589934602393486,-0.01609678553364129,0.0203129036483128,0.1282414257907061,-0.1265241354507807,-0.08769782802505328,-0.08196456404521495,-0.0775743490906189,-0.002085479089407859,-0.0017653036274895473,0.21163876169227086,-0.06933801546441087,-0.07903183578258359,-0.053804263635584,-0.02124225497851197,-0.02124225497851197,-0.02565032092453527,-0.02565032092453527,-0.02565032092453527,-0.02565032092453527,-0.02565032092453527,-0.02565032092453527,-0.02565032092453527,-0.02565032092453527,-0.029771466224079647,-0.029771466224079647,-0.029771466224079647,-0.029771466224079647,-0.023236364217868535,-0.019329137420497185,-0.019329137420497185,-0.019329137420497185,-0.019329137420497185,-0.020307134822906407,-0.020307134822906407,-0.020307134822906407,-0.020307134822906407,0.013675556073314681,0.013675556073314681,0.013675556073314681,0.013675556073314681,0.012270294482718441,0.012270294482718441,0.012270294482718441,0.012270294482718441,0.012270294482718441,0.012270294482718441,0.004198640120698816,0.004198640120698816,0.004198640120698816,-0.10284194992420104,-0.10284194992420104,-0.10284194992420104,-0.10284194992420104,-0.10284194992420104,-0.10284194992420104,-0.053804263635584
Python,0.3479126517754775,0.3177429323329778,0.32537008376996135,0.32744222795474837,0.4810836477519618,0.48461623980277724,0.5287027806596397,0.2798804045631199,0.43423633999240585,0.5276487759709623,0.5624594955274421,0.5395280603598356,0.39528922206301514,0.38202626280441526,0.26107261844257845,0.2554369368726102,0.31450243930113064,0.5183159496247893,0.4751205415768178,0.35272021600742526,0.4124942764116998,0.5155322460199381,0.22229635005083068,0.5034642179928024,0.319740012639416,0.3798558238204528,0.24894169218318005,0.59851060938641,0.425377713319518,0.6213206207255993,0.5323323392482121,0.44290758396421154,0.6735103421734614,0.2773821524958636,0.34379767918193926,0.3397350886223751,0.4744321796935505,0.35167023209212966,0.3342370077381211,0.1567259291132237,0.570297637901,0.5523135954509432,0.5010687733785719,0.4086352255094139,0.4086352255094139,0.5323044876996125,0.5323044876996125,0.5323044876996125,0.5323044876996125,0.5323044876996125,0.5323044876996125,0.5323044876996125,0.5323044876996125,0.5287232044183087,0.5287232044183087,0.5287232044183087,0.5287232044183087,0.41907654760727137,0.34783048625242885,0.34783048625242885,0.34783048625242885,0.34783048625242885,0.49389600486549917,0.49389600486549917,0.49389600486549917,0.49389600486549917,0.5187782920190572,0.5187782920190572,0.5187782920190572,0.5187782920190572,0.42464801348558573,0.42464801348558573,0.42464801348558573,0.42464801348558573,0.42464801348558573,0.42464801348558573,0.42242787189221737,0.42242787189221737,0.42242787189221737,0.4333548025928775,0.4333548025928775,0.4333548025928775,0.4333548025928775,0.4333548025928775,0.4333548025928775,0.5010687733785719
